year,area_ha,area_ha_lo95,area_ha_hi95,expansion_rate_pct
2017,4288.6,4263.4,4313.7,0.0
2018,6158.8,6128.7,6188.9,43.61
2019,5838.7,5809.4,5868.0,-5.2
2020,4532.3,4506.5,4558.2,-22.37
2021,4809.3,4782.7,4835.9,6.11
2022,6232.1,6201.8,6262.3,29.58
2023,6074.0,6044.1,6103.8,-2.54
2024,12562.1,12519.2,12605.0,106.82
2025,18693.7,18641.6,18745.9,48.81
